,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2006-10-26,1.76,1.88,2.03,1.71,3236175,1233435739.0,-22.22,230.56,3.32,13.36
1,2006-10-27,1.83,1.67,1.83,1.61,1270345,456739841.0,11.7,-11.17,-0.21,5.25
2,2006-10-30,1.63,1.71,1.72,1.61,612417,220004683.0,6.59,2.4,0.04,2.53
3,2006-10-31,1.73,1.85,1.87,1.67,833356,308150048.0,11.7,8.19,0.14,3.44
4,2006-11-01,1.86,2.23,2.23,1.86,2358436,948369074.0,20.0,20.54,0.38,9.74
5,2006-11-02,2.39,2.48,2.64,2.28,3914783,1721693802.0,16.14,11.21,0.25,16.17
6,2006-11-03,2.43,2.42,2.53,2.3,1652038,712574309.0,9.27,-2.42,-0.06,6.82
7,2006-11-06,2.37,2.52,2.53,2.33,1148171,499011065.0,8.26,4.13,0.1,4.74
8,2006-11-07,2.52,2.46,2.55,2.38,981727,427652973.0,6.75,-2.38,-0.06,4.05
9,2006-11-08,2.44,2.33,2.45,2.31,844292,361185711.0,5.69,-5.28,-0.13,3.49
10,2006-11-09,2.3,2.37,2.4,2.27,599311,255216332.0,5.58,1.72,0.04,2.47
11,2006-11-10,2.37,2.28,2.43,2.22,993870,420914099.0,8.86,-3.8,-0.09,4.1
12,2006-11-13,2.26,2.03,2.29,1.99,897322,361993797.0,13.16,-10.96,-0.25,3.71
13,2006-11-14,2.01,2.24,2.29,1.99,928152,379624905.0,14.78,10.34,0.21,3.83
14,2006-11-15,2.24,2.29,2.31,2.19,594174,247792892.0,5.36,2.23,0.05,2.45
15,2006-11-16,2.29,2.25,2.36,2.22,730668,305851266.0,6.11,-1.75,-0.04,3.02
16,2006-11-17,2.22,2.28,2.32,2.2,516218,215220743.0,5.33,1.33,0.03,2.13
17,2006-11-20,2.3,2.44,2.48,2.28,1161828,497151982.0,8.77,7.02,0.16,4.8
18,2006-11-21,2.45,2.62,2.63,2.36,1519353,671381615.0,11.07,7.38,0.18,6.27
19,2006-11-22,2.62,2.94,3.04,2.56,2314704,1113416954.0,18.32,12.21,0.32,9.56
20,2006-11-23,2.92,2.91,2.99,2.81,1234420,592749291.0,6.12,-1.02,-0.03,5.1
21,2006-11-24,2.89,2.92,2.99,2.79,942429,454058734.0,6.87,0.34,0.01,3.89
22,2006-11-27,2.9,2.93,2.95,2.83,735687,351803349.0,4.11,0.34,0.01,3.04
23,2006-11-28,2.94,2.84,2.95,2.83,628028,299632927.0,4.1,-3.07,-0.09,2.59
24,2006-11-29,2.81,2.86,2.91,2.69,752135,354392780.0,7.75,0.7,0.02,3.11
25,2006-11-30,2.87,3.18,3.28,2.83,1787818,893076946.0,15.73,11.19,0.32,7.38
26,2006-12-01,3.17,3.28,3.39,3.14,1489234,773949343.0,7.86,3.14,0.1,6.15
27,2006-12-04,3.28,3.8,3.8,3.24,1646236,908462006.0,17.07,15.85,0.52,6.8
28,2006-12-05,3.96,4.37,4.37,3.96,2610849,1617400789.0,10.79,15.0,0.57,10.78
29,2006-12-06,4.49,5.0,5.0,4.38,3262168,2169129332.0,14.19,14.42,0.63,13.47
30,2006-12-07,5.11,4.75,5.69,4.64,2854230,2096003227.0,21.0,-5.0,-0.25,11.79
31,2006-12-08,4.46,4.08,4.69,4.08,2996060,1847547768.0,12.84,-14.11,-0.67,12.37
32,2006-12-11,3.84,4.68,4.68,3.73,2264319,1371185408.0,23.28,14.71,0.6,9.35
33,2006-12-12,4.68,4.83,5.23,4.5,2690533,1822636750.0,15.6,3.21,0.15,11.11
34,2006-12-13,4.79,4.59,4.85,4.34,1338528,873016191.0,10.56,-4.97,-0.24,5.53
35,2006-12-14,4.59,4.64,4.73,4.47,861469,560488052.0,5.66,1.09,0.05,3.56
36,2006-12-15,4.66,4.79,4.95,4.64,1193216,801519730.0,6.68,3.23,0.15,4.93
37,2006-12-18,4.8,5.03,5.08,4.74,1707766,1167442341.0,7.1,5.01,0.24,7.05
38,2006-12-19,5.12,5.04,5.23,4.89,1350622,938030048.0,6.76,0.2,0.01,5.58
39,2006-12-21,5.09,4.98,5.28,4.9,1197766,841283415.0,7.54,-1.19,-0.06,4.95
40,2006-12-22,4.88,4.69,4.96,4.62,1056324,703706310.0,6.83,-5.82,-0.29,4.36
41,2006-12-25,4.69,4.76,4.94,4.69,764242,511185804.0,5.33,1.49,0.07,3.16
42,2006-12-26,4.79,4.56,4.83,4.47,794464,518162493.0,7.56,-4.2,-0.2,3.28
43,2006-12-27,4.56,4.7,4.78,4.45,588804,385534525.0,7.24,3.07,0.14,2.43
44,2006-12-28,4.74,4.56,4.8,4.49,735868,479416494.0,6.6,-2.98,-0.14,3.04
45,2006-12-29,4.57,5.08,5.19,4.57,2041074,1399204450.0,13.6,11.4,0.52,8.43
46,2007-01-04,5.18,5.06,5.37,4.99,2281773,1619344335.0,7.48,-0.39,-0.02,9.42
47,2007-01-05,4.97,5.28,5.29,4.89,1744133,1220443054.0,7.91,4.35,0.22,7.2
48,2007-01-08,5.48,6.0,6.0,5.25,2927304,2193674805.0,14.2,13.64,0.72,12.09
49,2007-01-09,6.1,6.15,6.41,5.97,2634264,2115704143.0,7.33,2.5,0.15,10.88
50,2007-01-10,6.16,6.11,6.25,5.99,1650689,1319912859.0,4.23,-0.65,-0.04,6.82
51,2007-01-11,6.11,6.04,6.33,5.94,1796049,1444945612.0,6.38,-1.15,-0.07,7.42
52,2007-01-12,5.95,5.47,6.13,5.44,1610623,1234996070.0,11.42,-9.44,-0.57,6.65
53,2007-01-15,5.46,5.93,5.94,5.41,1134443,863163805.0,9.69,8.41,0.46,4.68
54,2007-01-16,5.99,5.84,6.04,5.7,1181378,914036953.0,5.73,-1.52,-0.09,4.88
55,2007-01-17,5.85,5.69,6.0,5.59,1251798,964653427.0,7.02,-2.57,-0.15,5.17
56,2007-01-18,5.67,5.5,5.71,5.31,1402448,1035856067.0,7.03,-3.34,-0.19,5.79
57,2007-01-19,5.5,5.91,5.95,5.5,1448541,1114705412.0,8.18,7.45,0.41,5.98
58,2007-01-22,6.07,6.05,6.31,5.93,1698771,1358532438.0,6.43,2.37,0.14,7.01
59,2007-01-23,6.06,5.81,6.1,5.6,1465531,1131803759.0,8.26,-3.97,-0.24,6.05
60,2007-01-24,5.81,6.16,6.24,5.67,1940763,1536539356.0,9.81,6.02,0.35,8.01
61,2007-01-25,6.18,6.5,6.91,5.99,3242360,2751868940.0,14.94,5.52,0.34,13.39
62,2007-01-26,6.29,6.33,6.49,5.85,1613753,1308013213.0,9.85,-2.62,-0.17,6.66
63,2007-01-29,6.33,6.46,6.59,6.25,1244237,1037274192.0,5.37,2.05,0.13,5.14
64,2007-01-30,6.48,6.22,6.56,6.15,1121936,921113623.0,6.35,-3.72,-0.24,4.63
65,2007-01-31,6.17,5.7,6.26,5.59,1205793,949229632.0,10.77,-8.36,-0.52,4.98
66,2007-02-01,5.63,5.73,5.79,5.49,952386,721728019.0,5.26,0.53,0.03,3.93
67,2007-02-02,5.74,5.55,5.78,5.34,881428,659592273.0,7.68,-3.14,-0.18,3.64
68,2007-02-05,5.62,5.55,5.73,5.52,890219,670327239.0,3.78,0.0,0.0,3.68
69,2007-02-06,5.58,5.86,5.89,5.58,648390,495178217.0,5.59,5.59,0.31,2.68
70,2007-02-07,5.91,5.88,6.0,5.75,718422,559790514.0,4.27,0.34,0.02,2.97
71,2007-02-08,5.88,6.03,6.08,5.71,877127,689402798.0,6.29,2.55,0.15,3.62
72,2007-02-09,6.08,6.36,6.41,5.92,1533892,1245777585.0,8.13,5.47,0.33,6.33
73,2007-02-12,6.36,6.42,6.46,6.25,1535567,1267288760.0,3.3,0.94,0.06,6.34
74,2007-02-13,6.44,6.38,6.49,6.29,833540,692858703.0,3.12,-0.62,-0.04,3.44
75,2007-02-14,6.37,6.39,6.46,6.3,920335,763536100.0,2.51,0.16,0.01,3.8
76,2007-02-15,6.42,6.56,6.68,6.4,1168014,987303913.0,4.38,2.66,0.17,4.82
77,2007-02-16,6.61,6.56,6.73,6.46,1273341,1078294115.0,4.12,0.0,0.0,5.26
78,2007-02-26,6.59,6.7,6.74,6.42,1281163,1087457644.0,4.88,2.13,0.14,5.29
79,2007-02-27,6.71,5.84,6.73,5.84,1534806,1260136397.0,13.28,-12.84,-0.86,6.34
80,2007-02-28,5.67,6.1,6.2,5.59,1097701,855632659.0,10.45,4.45,0.26,4.53
