,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-01-05,1.94,1.94,1.94,1.94,10,3700.0,0.0,0.0,0.0,0.0
1,2018-01-08,2.11,2.11,2.11,2.11,350,140000.0,0.0,8.76,0.17,0.06
2,2018-01-09,2.11,2.11,2.11,2.11,130,52000.0,0.0,0.0,0.0,0.02
3,2018-01-10,2.11,2.11,2.11,2.11,10,4000.0,0.0,0.0,0.0,0.0
4,2018-07-09,2.11,2.11,2.11,2.11,10,4000.0,0.0,0.0,0.0,0.0
5,2020-01-02,2.12,2.12,2.12,2.12,10,3910.0,0.0,0.47,0.01,0.0
6,2020-03-05,2.17,2.17,2.17,2.17,10,4010.0,0.0,2.36,0.05,0.0
7,2020-03-13,2.89,3.3,3.3,2.89,30,17390.0,18.89,52.07,1.13,0.01
8,2020-03-24,4.39,4.39,4.39,4.39,10,8010.0,0.0,33.03,1.09,0.0
9,2020-03-27,5.49,5.49,5.49,5.49,10,9980.0,0.0,25.06,1.1,0.0
10,2020-04-01,5.49,5.49,5.49,5.49,5,4990.0,0.0,0.0,0.0,0.0
11,2020-04-02,5.49,5.49,5.49,5.49,5,4990.0,0.0,0.0,0.0,0.0
12,2020-04-08,5.22,5.22,5.22,5.22,5,4750.0,0.0,-4.92,-0.27,0.0
13,2020-07-27,12.93,8.73,13.1,7.02,69661,118591822.0,108.57,55.89,3.13,11.79
14,2020-07-28,8.55,8.3,8.88,7.31,29825,44217685.0,17.98,-4.93,-0.43,5.05
15,2020-07-29,8.47,10.19,10.74,8.47,28213,49884475.0,27.35,22.77,1.89,4.77
16,2020-07-30,10.43,10.83,11.54,10.31,26778,52567916.0,12.07,6.28,0.64,4.53
17,2020-07-31,10.72,11.21,11.37,10.63,13326,26637500.0,6.83,3.51,0.38,2.25
18,2020-08-03,11.45,11.83,12.69,11.45,17685,38592942.0,11.06,5.53,0.62,2.99
19,2020-08-04,11.75,11.08,12.07,10.98,15278,31106334.0,9.21,-6.34,-0.75,2.58
20,2020-08-05,11.14,10.92,11.63,10.7,10771,21812448.0,8.39,-1.44,-0.16,1.82
21,2020-08-06,11.0,10.13,11.0,10.07,13132,24522824.0,8.52,-7.23,-0.79,2.22
22,2020-08-07,10.1,10.17,10.51,9.99,6240,11631173.0,5.13,0.39,0.04,1.06
23,2020-08-10,10.17,10.3,10.81,9.96,5333,10003563.0,8.36,1.28,0.13,0.9
24,2020-08-11,10.77,10.18,10.77,10.16,4909,9322077.0,5.92,-1.17,-0.12,0.83
25,2020-08-12,10.23,9.99,10.23,9.44,5921,10480475.0,7.76,-1.87,-0.19,1.0
26,2020-08-13,9.99,10.04,10.04,9.6,4207,7492824.0,4.4,0.5,0.05,0.71
27,2020-08-14,10.04,10.22,10.34,9.85,3404,6216503.0,4.88,1.79,0.18,0.58
28,2020-08-17,10.07,9.92,10.09,9.82,4545,8187128.0,2.64,-2.94,-0.3,0.77
29,2020-08-18,10.08,9.96,10.14,9.91,4487,8127306.0,2.32,0.4,0.04,0.76
30,2020-08-19,9.94,9.61,9.98,9.39,7068,12369447.0,5.92,-3.51,-0.35,1.2
31,2020-08-20,9.44,9.56,9.71,9.44,2041,3535152.0,2.81,-0.52,-0.05,0.35
32,2020-08-21,9.72,9.86,10.04,9.56,3646,6519946.0,5.02,3.14,0.3,0.62
33,2020-08-24,9.73,10.3,10.39,9.73,3744,6921337.0,6.69,4.46,0.44,0.63
34,2020-08-25,10.31,10.51,10.65,10.02,3163,5958743.0,6.12,2.04,0.21,0.54
35,2020-08-26,10.72,11.02,11.33,10.54,9133,18280219.0,7.52,4.85,0.51,1.55
36,2020-08-27,11.06,11.02,11.38,10.9,3965,7979334.0,4.36,0.0,0.0,0.67
37,2020-08-28,10.94,11.0,11.17,10.89,3506,6984872.0,2.54,-0.18,-0.02,0.59
38,2020-08-31,11.07,10.87,11.07,10.56,3442,6775731.0,4.64,-1.18,-0.13,0.58
39,2020-09-01,10.61,10.86,10.92,10.61,3576,6987944.0,2.85,-0.09,-0.01,0.61
40,2020-09-02,10.72,10.57,10.8,10.43,3607,6898967.0,3.41,-2.67,-0.29,0.61
41,2020-09-03,10.54,10.58,10.64,10.42,2926,5563475.0,2.08,0.09,0.01,0.5
42,2020-09-04,10.46,10.63,10.67,10.43,1421,2717649.0,2.27,0.47,0.05,0.24
43,2020-09-07,10.56,10.25,10.67,10.09,2735,5141957.0,5.46,-3.57,-0.38,0.46
44,2020-09-08,10.22,10.27,10.27,10.07,2071,3809644.0,1.95,0.2,0.02,0.35
45,2020-09-09,10.25,9.96,10.33,9.94,2302,4197343.0,3.8,-3.02,-0.31,0.39
46,2020-09-10,9.89,9.54,10.1,9.53,1933,3427061.0,5.72,-4.22,-0.42,0.33
47,2020-09-11,9.53,9.53,9.71,9.35,3279,5619675.0,3.77,-0.1,-0.01,0.55
48,2020-09-14,9.61,10.09,10.09,9.5,3572,6418211.0,6.19,5.88,0.56,0.6
49,2020-09-15,10.15,9.94,10.18,9.48,1461,2631798.0,6.94,-1.49,-0.15,0.25
50,2020-09-16,9.77,9.91,9.99,9.77,632,1137253.0,2.21,-0.3,-0.03,0.11
51,2020-09-17,9.84,10.06,10.16,9.79,1661,2987059.0,3.73,1.51,0.15,0.28
52,2020-09-18,9.89,10.22,10.22,9.89,827,1511444.0,3.28,1.59,0.16,0.14
53,2020-09-21,10.37,10.19,10.37,10.1,524,965614.0,2.64,-0.29,-0.03,0.09
54,2020-09-22,9.97,10.17,10.18,9.94,799,1448059.0,2.36,-0.2,-0.02,0.14
