,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-11-12,0.45,0.45,0.45,0.45,11000,1100000.0,0.0,0.0,0.0,4.64
1,2015-11-23,5.45,5.45,5.45,5.45,5000,3000000.0,0.0,1111.11,5.0,2.11
2,2015-11-24,5.45,5.45,5.45,5.45,3000,1800000.0,0.0,0.0,0.0,1.27
3,2015-11-25,0.45,0.45,0.45,0.45,1000,100000.0,0.0,-91.74,-5.0,0.42
4,2016-01-05,7.87,8.0,9.15,7.87,180,155910.0,284.44,1677.78,7.55,0.08
5,2016-01-06,8.48,8.01,8.48,8.01,100,87650.0,5.88,0.13,0.01,0.04
6,2016-01-07,7.86,7.82,7.86,7.82,40,33560.0,0.5,-2.37,-0.19,0.02
7,2016-01-08,7.62,7.62,7.62,7.62,10,8170.0,0.0,-2.56,-0.2,0.0
8,2016-01-20,7.69,7.42,7.69,7.42,20,16210.0,3.54,-2.62,-0.2,0.01
9,2016-01-21,7.62,7.62,7.62,7.62,10,8170.0,0.0,2.7,0.2,0.0
10,2016-01-27,7.42,7.42,7.42,7.42,10,7970.0,0.0,-2.62,-0.2,0.0
11,2016-02-01,7.41,7.07,7.41,7.07,30,23350.0,4.58,-4.72,-0.35,0.01
12,2016-02-02,7.08,7.08,7.08,7.08,10,7630.0,0.0,0.14,0.01,0.0
13,2016-02-22,6.9,6.9,6.9,6.9,30,22350.0,0.0,-2.54,-0.18,0.01
14,2016-03-02,7.09,7.09,7.09,7.09,10,7640.0,0.0,2.75,0.19,0.0
15,2016-03-04,7.15,7.15,7.15,7.15,10,7700.0,0.0,0.85,0.06,0.0
16,2016-03-23,7.17,7.17,7.17,7.17,10,7720.0,0.0,0.28,0.02,0.0
17,2016-03-30,7.29,7.3,7.3,7.29,30,23530.0,0.14,1.81,0.13,0.01
18,2016-04-01,7.35,7.35,7.35,7.35,20,15800.0,0.0,0.68,0.05,0.01
19,2016-04-18,7.15,7.15,7.15,7.15,10,7700.0,0.0,-2.72,-0.2,0.0
20,2016-04-22,7.35,7.35,7.35,7.35,10,7900.0,0.0,2.8,0.2,0.0
21,2016-05-18,7.05,7.05,7.05,7.05,10,7600.0,0.0,-4.08,-0.3,0.0
22,2016-06-03,6.96,6.86,6.96,6.86,30,22090.0,1.42,-2.7,-0.19,0.01
23,2016-06-22,7.05,7.2,7.2,7.05,40,30150.0,2.19,4.96,0.34,0.02
24,2016-06-24,7.35,7.35,7.35,7.35,30,23400.0,0.0,2.08,0.15,0.01
25,2016-06-27,7.55,7.56,7.56,7.55,30,24010.0,0.14,2.86,0.21,0.01
26,2016-06-30,7.75,7.79,7.79,7.75,30,24640.0,0.53,3.04,0.23,0.01
27,2016-07-11,7.79,7.79,7.79,7.79,10,8240.0,0.0,0.0,0.0,0.0
28,2016-07-14,8.0,8.07,8.2,8.0,90,76950.0,2.57,3.59,0.28,0.04
29,2016-07-19,7.93,7.93,7.93,7.93,30,25140.0,0.0,-1.73,-0.14,0.01
30,2016-07-21,8.15,7.92,8.15,7.92,30,25570.0,2.9,-0.13,-0.01,0.01
