,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-12-07,22.48,22.48,22.48,22.48,10,45000.0,0.0,0.0,0.0,0.0
1,2015-12-08,22.48,22.48,22.48,22.48,40,180000.0,0.0,0.0,0.0,0.01
2,2015-12-09,0.21,16.09,22.48,0.21,110,354350.0,99.07,-28.43,-6.39,0.01
3,2015-12-14,10.57,10.57,10.57,10.57,380,804460.0,0.0,-34.31,-5.52,0.05
4,2015-12-15,10.57,10.57,10.57,10.57,330,698610.0,0.0,0.0,0.0,0.04
5,2015-12-17,5.52,5.52,5.52,5.52,950,1051650.0,0.0,-47.78,-5.05,0.12
6,2015-12-21,18.98,18.98,18.98,18.98,20,76000.0,0.0,243.84,13.46,0.0
7,2015-12-22,1.91,1.91,18.98,1.91,240,160626.0,89.94,-89.94,-17.07,0.03
8,2015-12-23,1.91,1.91,1.91,1.91,113,43616.0,0.0,0.0,0.0,0.01
9,2015-12-24,1.91,1.91,1.91,1.91,725,279125.0,0.0,0.0,0.0,0.09
10,2015-12-25,1.91,1.91,1.91,1.91,2994,1152620.0,0.0,0.0,0.0,0.38
11,2015-12-29,1.91,2.35,14.98,1.91,3550,1680550.0,684.29,23.04,0.44,0.45
12,2015-12-30,15.48,15.48,15.48,15.48,10,31000.0,0.0,558.72,13.13,0.0
13,2016-01-11,9.42,7.42,9.42,3.14,4900,7292300.0,40.57,-52.07,-8.06,0.62
14,2016-01-12,13.98,13.98,13.98,13.98,20,56000.0,0.0,88.41,6.56,0.0
15,2016-01-13,13.98,13.98,13.98,13.98,10,28000.0,0.0,0.0,0.0,0.0
16,2016-01-14,9.42,5.0,9.42,0.48,13850,13901000.0,63.95,-64.23,-8.98,1.76
17,2016-01-15,9.42,9.42,9.42,9.42,6000,11328000.0,0.0,88.4,4.42,0.76
18,2016-01-21,0.48,0.48,0.48,0.48,5810,581000.0,0.0,-94.9,-8.94,0.74
19,2016-01-22,14.98,14.98,14.98,14.98,10,30000.0,0.0,3020.83,14.5,0.0
20,2016-01-25,5.52,5.52,5.52,5.52,360,398520.0,0.0,-63.15,-9.46,0.05
21,2016-01-27,0.48,14.98,14.98,0.48,5183,1553356.0,262.68,171.38,9.46,0.66
22,2016-01-28,5.52,5.65,14.98,1.48,10410,6942900.0,90.12,-62.28,-9.33,1.32
23,2016-01-29,12.96,12.24,12.97,11.98,780,1915370.0,17.52,116.64,6.59,0.1
24,2016-02-02,12.23,11.98,12.23,11.63,150,355260.0,4.9,-2.12,-0.26,0.02
25,2016-02-03,11.98,11.98,11.98,11.98,10,24000.0,0.0,0.0,0.0,0.0
26,2016-02-04,12.01,11.98,12.01,11.46,40,95050.0,4.59,0.0,0.0,0.01
27,2016-02-05,11.58,11.98,11.98,11.43,50,115900.0,4.59,0.0,0.0,0.01
28,2016-02-15,12.01,11.48,12.01,11.43,60,139790.0,4.84,-4.17,-0.5,0.01
29,2016-02-16,11.54,11.05,11.6,11.05,160,366950.0,4.79,-3.75,-0.43,0.02
30,2016-02-17,11.05,10.5,11.05,10.5,50,106670.0,4.98,-4.98,-0.55,0.01
31,2016-02-18,10.48,10.13,10.53,10.13,340,711470.0,3.81,-3.52,-0.37,0.04
32,2016-02-19,10.13,9.72,10.13,9.72,40,80370.0,4.05,-4.05,-0.41,0.01
33,2016-02-22,9.73,9.73,9.73,9.73,80,155950.0,0.0,0.1,0.01,0.01
34,2016-02-23,9.75,9.32,9.75,9.32,50,95910.0,4.42,-4.21,-0.41,0.01
35,2016-02-24,9.32,9.33,9.33,9.32,80,149490.0,0.11,0.11,0.01,0.01
36,2016-02-25,9.42,9.48,9.77,9.42,540,1038280.0,3.75,1.61,0.15,0.07
37,2016-02-26,9.5,9.55,9.55,9.5,40,76260.0,0.53,0.74,0.07,0.01
38,2016-02-29,9.55,9.73,9.73,9.53,150,287750.0,2.09,1.88,0.18,0.02
39,2016-03-01,9.75,9.75,9.75,9.75,60,117180.0,0.0,0.21,0.02,0.01
40,2016-03-02,9.27,9.67,9.73,9.24,450,857190.0,5.03,-0.82,-0.08,0.06
41,2016-03-03,9.42,9.53,9.53,9.2,140,261070.0,3.41,-1.45,-0.14,0.02
42,2016-03-04,9.55,9.53,9.56,9.53,90,172270.0,0.31,0.0,0.0,0.01
43,2016-03-07,9.58,9.72,9.72,9.58,200,386450.0,1.47,1.99,0.19,0.03
44,2016-03-08,9.72,9.73,9.73,9.38,60,116240.0,3.6,0.1,0.01,0.01
45,2016-03-09,9.73,10.23,10.23,9.73,440,882000.0,5.14,5.14,0.5,0.06
46,2016-03-10,9.73,10.09,10.09,9.72,140,275470.0,3.62,-1.37,-0.14,0.02
47,2016-03-11,10.18,10.23,10.23,9.93,180,365920.0,2.97,1.39,0.14,0.02
48,2016-03-14,10.27,10.42,10.42,10.27,330,684320.0,1.47,1.86,0.19,0.04
49,2016-03-15,10.42,10.48,10.73,10.29,540,1140110.0,4.22,0.58,0.06,0.07
50,2016-03-16,10.64,10.68,10.68,10.63,60,128070.0,0.48,1.91,0.2,0.01
51,2016-03-17,10.48,10.46,10.76,10.39,200,419660.0,3.46,-2.06,-0.22,0.03
52,2016-03-18,10.2,10.78,10.78,10.2,330,703350.0,5.54,3.06,0.32,0.04
53,2016-03-21,10.53,11.0,11.0,10.48,200,430630.0,4.82,2.04,0.22,0.03
54,2016-03-22,10.99,10.73,10.99,10.73,80,172520.0,2.36,-2.45,-0.27,0.01
55,2016-03-23,10.73,11.09,11.09,10.73,700,1529060.0,3.36,3.36,0.36,0.09
56,2016-03-24,11.09,12.15,12.28,11.09,880,2064520.0,10.73,9.56,1.06,0.11
57,2016-03-25,12.15,11.76,12.31,11.76,150,364370.0,4.53,-3.21,-0.39,0.02
58,2016-03-28,11.98,11.92,11.98,11.36,320,743570.0,5.27,1.36,0.16,0.04
59,2016-03-29,11.39,11.63,11.63,11.32,150,341940.0,2.6,-2.43,-0.29,0.02
60,2016-03-30,11.63,11.63,11.63,11.63,10,23300.0,0.0,0.0,0.0,0.0
61,2016-03-31,11.63,11.63,11.63,11.63,60,139800.0,0.0,0.0,0.0,0.01
62,2016-04-01,11.63,11.77,11.77,11.16,220,513060.0,5.25,1.2,0.14,0.03
63,2016-04-05,11.38,11.77,11.77,11.38,50,116170.0,3.31,0.0,0.0,0.01
64,2016-04-06,11.46,11.76,11.76,11.46,70,162360.0,2.55,-0.08,-0.01,0.01
65,2016-04-08,11.39,11.88,11.88,11.39,60,140790.0,4.17,1.02,0.12,0.01
66,2016-04-11,11.4,11.13,11.4,10.72,430,952580.0,5.72,-6.31,-0.75,0.05
67,2016-04-12,11.13,11.13,11.13,11.13,10,22290.0,0.0,0.0,0.0,0.0
68,2016-04-13,11.13,11.16,11.16,11.13,20,44640.0,0.27,0.27,0.03,0.0
69,2016-04-14,10.82,11.14,11.15,10.6,250,544520.0,4.93,-0.18,-0.02,0.03
70,2016-04-15,10.8,11.14,11.14,10.8,20,43950.0,3.05,0.0,0.0,0.0
71,2016-04-18,11.23,11.24,11.24,11.23,60,135100.0,0.09,0.9,0.1,0.01
72,2016-04-19,10.79,11.24,11.24,10.79,30,65730.0,4.0,0.0,0.0,0.0
73,2016-04-20,11.33,10.84,11.33,10.84,20,44400.0,4.36,-3.56,-0.4,0.0
74,2016-04-21,10.51,10.78,10.83,10.4,60,127890.0,3.97,-0.55,-0.06,0.01
75,2016-04-22,10.35,10.77,10.77,10.35,20,42300.0,3.9,-0.09,-0.01,0.0
76,2016-04-25,10.34,10.34,10.34,10.34,10,20720.0,0.0,-3.99,-0.43,0.0
77,2016-04-26,10.03,10.42,10.42,10.03,20,40970.0,3.77,0.77,0.08,0.0
78,2016-04-27,10.41,10.41,10.41,10.11,50,102450.0,2.88,-0.1,-0.01,0.01
79,2016-04-28,10.41,10.45,10.45,10.15,230,478980.0,2.88,0.38,0.04,0.03
80,2016-04-29,10.44,10.45,10.45,10.38,130,271880.0,0.67,0.0,0.0,0.02
