,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-05-19,5.11,5.11,5.11,5.11,27000,45009000.0,0.0,0.0,0.0,6.27
1,2017-05-26,7.16,7.16,7.16,7.16,9000,20997000.0,0.0,40.12,2.05,2.09
2,2017-06-01,7.16,7.16,7.16,7.16,12000,27996000.0,0.0,0.0,0.0,2.79
3,2017-06-02,7.16,7.16,7.16,7.16,6000,13998000.0,0.0,0.0,0.0,1.39
4,2017-06-08,7.16,7.16,7.16,7.16,3000,6999000.0,0.0,0.0,0.0,0.7
5,2020-03-20,19.0,33.9,33.9,19.0,40,102250.0,208.1,373.46,26.74,0.01
6,2020-03-23,33.9,20.55,33.9,20.0,550,1169080.0,41.0,-39.38,-13.35,0.13
7,2020-03-24,20.66,22.0,22.0,20.66,350,730450.0,6.52,7.06,1.45,0.08
8,2020-03-25,32.01,32.02,32.02,31.88,90,287990.0,0.64,45.55,10.02,0.02
9,2020-04-03,22.0,22.0,22.0,22.0,232,510400.0,0.0,-31.29,-10.02,0.05
10,2020-04-07,30.0,22.0,30.0,22.0,478,1087660.0,36.36,0.0,0.0,0.11
11,2020-04-08,20.0,20.0,21.0,20.0,1296,2606820.0,4.55,-9.09,-2.0,0.3
12,2020-04-09,20.5,20.5,21.0,20.0,1028,2068994.0,5.0,2.5,0.5,0.24
13,2020-04-10,20.1,19.87,20.1,19.87,1154,2307732.0,1.12,-3.07,-0.63,0.27
14,2020-04-13,20.01,20.01,20.01,20.01,127,254127.0,0.0,0.7,0.14,0.03
15,2020-04-14,20.0,20.0,20.0,20.0,486,972000.0,0.0,-0.05,-0.01,0.11
16,2020-04-15,20.0,20.0,20.5,20.0,126,252100.0,2.5,0.0,0.0,0.03
17,2020-04-16,21.0,20.01,21.0,20.01,92,184322.0,4.95,0.05,0.01,0.02
18,2020-04-17,20.08,20.01,20.08,20.0,143,286218.0,0.4,0.0,0.0,0.03
19,2020-04-20,22.99,22.6,22.99,22.6,45,102870.0,1.95,12.94,2.59,0.01
20,2020-04-21,22.2,21.88,22.2,21.67,46,100632.0,2.35,-3.19,-0.72,0.01
21,2020-04-22,20.98,22.0,22.0,20.98,134,291264.0,4.66,0.55,0.12,0.03
22,2020-04-23,22.0,22.02,22.02,22.0,82,180436.0,0.09,0.09,0.02,0.02
23,2020-04-27,22.4,22.64,22.64,22.4,15,33840.0,1.09,2.82,0.62,0.0
24,2020-04-28,23.0,23.98,23.98,23.0,47,109864.0,4.33,5.92,1.34,0.01
