,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-11-17,1.92,2.62,2.67,1.92,1360,470880.0,0.0,0.0,0.0,0.31
1,2015-11-18,2.6,3.22,3.37,2.58,3090,1300700.0,30.15,22.9,0.6,0.7
2,2015-11-19,3.2,2.74,3.2,2.72,180,73320.0,14.91,-14.91,-0.48,0.04
3,2015-11-20,2.74,2.7,2.74,2.63,800,302310.0,4.01,-1.46,-0.04,0.18
4,2015-11-23,2.8,3.26,3.35,2.72,1610,666990.0,23.33,20.74,0.56,0.37
5,2015-11-24,3.32,3.5,3.5,3.32,500,223750.0,5.52,7.36,0.24,0.11
6,2015-11-25,3.52,4.41,4.41,3.52,1610,815120.0,25.43,26.0,0.91,0.37
7,2015-11-26,4.48,4.92,4.92,4.47,660,382270.0,10.2,11.56,0.51,0.15
8,2015-11-27,4.71,4.43,4.71,4.43,150,84320.0,5.69,-9.96,-0.49,0.03
9,2015-11-30,4.57,4.42,5.07,4.38,920,536060.0,15.58,-0.23,-0.01,0.21
10,2015-12-01,4.42,4.52,4.52,4.42,110,61110.0,2.26,2.26,0.1,0.02
11,2015-12-02,4.62,4.62,4.62,4.15,290,159370.0,10.4,2.21,0.1,0.07
12,2015-12-04,4.67,4.91,4.91,4.67,240,140990.0,5.19,6.28,0.29,0.05
13,2015-12-07,4.64,4.18,4.64,4.06,280,153030.0,11.81,-14.87,-0.73,0.06
14,2015-12-08,4.02,3.64,4.02,3.64,1110,533740.0,9.09,-12.92,-0.54,0.25
15,2015-12-10,3.8,3.47,3.8,3.47,110,51130.0,9.07,-4.67,-0.17,0.02
16,2015-12-11,3.59,3.4,3.59,3.37,510,230280.0,6.34,-2.02,-0.07,0.12
17,2015-12-14,3.51,3.51,3.51,3.51,20,9180.0,0.0,3.24,0.11,0.0
18,2015-12-15,3.38,3.47,3.47,3.37,80,35910.0,2.85,-1.14,-0.04,0.02
19,2015-12-16,3.52,3.56,3.56,3.52,20,9240.0,1.15,2.59,0.09,0.0
20,2015-12-17,3.57,3.57,3.57,3.57,10,4650.0,0.0,0.28,0.01,0.0
21,2015-12-18,3.39,4.23,4.23,3.29,1130,548300.0,26.33,18.49,0.66,0.26
22,2015-12-21,4.07,3.87,4.07,3.87,60,30280.0,4.73,-8.51,-0.36,0.01
23,2015-12-22,3.8,3.47,3.8,3.29,470,212980.0,13.18,-10.34,-0.4,0.11
24,2015-12-23,3.52,3.58,3.58,3.52,50,23150.0,1.73,3.17,0.11,0.01
25,2015-12-24,3.62,3.57,3.62,3.42,100,45880.0,5.59,-0.28,-0.01,0.02
26,2015-12-25,3.65,3.7,3.7,3.65,40,18980.0,1.4,3.64,0.13,0.01
27,2015-12-28,3.72,4.24,4.42,3.72,250,128560.0,18.92,14.59,0.54,0.06
28,2015-12-29,4.06,4.08,4.08,3.79,140,70590.0,6.84,-3.77,-0.16,0.03
29,2015-12-30,4.17,4.43,4.72,4.17,360,200200.0,13.48,8.58,0.35,0.08
30,2015-12-31,4.56,4.67,5.02,4.56,350,205660.0,10.38,5.42,0.24,0.08
31,2016-01-04,4.62,4.51,4.62,4.51,30,16900.0,2.36,-3.43,-0.16,0.01
32,2016-01-05,4.62,3.97,4.67,3.93,240,129990.0,16.41,-11.97,-0.54,0.05
33,2016-01-06,4.02,4.86,4.86,4.02,260,143830.0,21.16,22.42,0.89,0.06
34,2016-01-07,4.62,4.92,5.02,4.52,270,158060.0,10.29,1.23,0.06,0.06
35,2016-01-08,4.63,5.17,5.33,3.91,950,553110.0,28.86,5.08,0.25,0.22
36,2016-01-11,5.15,5.29,5.29,5.15,130,82160.0,2.71,2.32,0.12,0.03
37,2016-01-12,5.3,5.2,5.3,5.2,30,19040.0,1.89,-1.7,-0.09,0.01
38,2016-01-13,5.22,5.34,5.59,5.22,340,220050.0,7.12,2.69,0.14,0.08
39,2016-01-14,5.37,5.37,5.37,5.37,10,6450.0,0.0,0.56,0.03,0.0
40,2016-01-15,5.06,5.76,5.83,5.05,610,407630.0,14.53,7.26,0.39,0.14
41,2016-01-18,5.67,5.67,5.67,5.67,10,6750.0,0.0,-1.56,-0.09,0.0
42,2016-01-19,5.38,5.67,5.67,5.38,140,93950.0,5.11,0.0,0.0,0.03
43,2016-01-20,5.69,6.22,6.44,5.69,270,189050.0,13.23,9.7,0.55,0.06
44,2016-01-21,6.04,6.0,6.22,6.0,30,21500.0,3.54,-3.54,-0.22,0.01
45,2016-01-22,6.22,6.52,6.52,6.22,300,222300.0,5.0,8.67,0.52,0.07
46,2016-01-25,6.14,5.93,6.14,5.93,90,63730.0,3.22,-9.05,-0.59,0.02
47,2016-01-26,6.0,5.92,6.0,5.92,30,21080.0,1.35,-0.17,-0.01,0.01
48,2016-01-27,5.93,6.62,6.62,5.93,840,619370.0,11.66,11.82,0.7,0.19
49,2016-01-28,6.33,6.25,6.33,6.25,40,29480.0,1.21,-5.59,-0.37,0.01
50,2016-01-29,6.27,6.92,6.92,6.27,240,180630.0,10.4,10.72,0.67,0.05
51,2016-02-01,6.57,6.8,6.8,6.57,80,62270.0,3.32,-1.73,-0.12,0.02
52,2016-02-02,6.72,6.42,6.72,6.42,20,15300.0,4.41,-5.59,-0.38,0.0
53,2016-02-03,6.59,6.59,6.59,6.59,50,38350.0,0.0,2.65,0.17,0.01
54,2016-02-04,6.67,6.67,6.67,6.67,10,7750.0,0.0,1.21,0.08,0.0
55,2016-02-05,6.7,7.52,7.57,5.92,1350,1086690.0,24.74,12.74,0.85,0.31
56,2016-02-15,7.19,7.22,7.22,5.92,410,312880.0,17.29,-3.99,-0.3,0.09
57,2016-02-18,7.0,7.0,7.0,7.0,10,8080.0,0.0,-3.05,-0.22,0.0
